Municipio,Departamento,Aval Partidos 2011
Leticia,Amazonas,CR
Puerto Nariño,Amazonas,PC
Murindó,Antioquia,Afrovides
San Andrés de Cuerquia,Antioquia,Afrovides
El Bagre,Antioquia,Aico
San Carlos,Antioquia,Aico
Vigía del Fuerte,Antioquia,Aico
Carmen de Viboral,Antioquia,ASI
San José de la Montaña,Antioquia,ASI
Caramanta,Antioquia,ASI
Ciudad Bolívar,Antioquia,ASI
Rionegro,Antioquia,ASI
Campamento,Antioquia,ASI
Necoclí,Antioquia,ASI
Yondó,Antioquia,AV
Angostura,Antioquia,AV
Bello,Antioquia,PC
Anzá,Antioquia,CR
Concepción,Antioquia,CR
Liborina,Antioquia,CR
San Rafael,Antioquia,CR
Santa Rosa de Osos,Antioquia,CR
Puerto Nare,Antioquia,CR
Nechí,Antioquia,CR
Betulia,Antioquia,CR
Caucasia,Antioquia,CR
Gómez Plata,Antioquia,CR
Granada,Antioquia,CR
Jericó,Antioquia,CR
San Francisco,Antioquia,CR
La Pintada,Antioquia,CR
Tarazá,Antioquia,CR
Jardín,Antioquia,Firmas
Turbo,Antioquia,Firmas
Segovia,Antioquia,Firmas
Guatapé,Antioquia,Firmas
Copacabana,Antioquia,MIO
La Ceja del Tambo,Antioquia,MIO
Apartadó,Antioquia,Firmas
Donmatías,Antioquia,PC
Argelia,Antioquia,PC
Nariño,Antioquia,PC
Puerto Triunfo,Antioquia,PC
Sabaneta,Antioquia,PC
Sonsón,Antioquia,PC
Valparaíso,Antioquia,PC
Cisneros,Antioquia,PC
Cocorná,Antioquia,PC
Montebello,Antioquia,PC
San Luis,Antioquia,PC
Cañasgordas,Antioquia,PC
Hispania,Antioquia,PC
Itagüí,Antioquia,PC
Sabanalarga,Antioquia,PC
San Pedro de los Milagros,Antioquia,PC
San Roque,Antioquia,PC
Támesis,Antioquia,PC
Toledo,Antioquia,PC
Uramita,Antioquia,PC
Armenia,Antioquia,PC
Fredonia,Antioquia,PC
Giraldo,Antioquia,PC
Ituango,Antioquia,PC
Vegachí,Antioquia,PC
Alejandría,Antioquia,PC
Andes,Antioquia,PC
Santuario,Antioquia,PC
Abriaquí,Antioquia,PIN
Heliconia,Antioquia,PIN
Carepa,Antioquia,PIN
Yarumal,Antioquia,PL
Caicedo,Antioquia,PL
Concordia,Antioquia,PL
Titiribí,Antioquia,PL
Peque,Antioquia,PL
Tarso,Antioquia,PL
Zaragoza,Antioquia,PL
Medellín,Antioquia,PL
Carolina,Antioquia,PL
La Unión,Antioquia,PL
Betania,Antioquia,PL
Buriticá,Antioquia,PL
Frontino,Antioquia,PL
Guadalupe,Antioquia,PL
Valdivia,Antioquia,PL
Abejorral,Antioquia,PL
Anorí,Antioquia,PL
Belmira,Antioquia,PL
Dabeiba,Antioquia,PL
Ebéjico,Antioquia,PL
Envigado,Antioquia,PL
Barbosa,Antioquia,PL
Cáceres,Antioquia,PL
Pueblorrico,Antioquia,PL
San Juan de Urabá,Antioquia,PL
Caracolí,Antioquia,U
Yolombó,Antioquia,U
Amagá,Antioquia,U
Marinilla,Antioquia,U
San Vicente,Antioquia,U
Amalfi,Antioquia,U
Arboletes,Antioquia,U
Mutatá,Antioquia,U
Olaya,Antioquia,U
Puerto Berrío,Antioquia,U
Remedios,Antioquia,U
Angelopolis,Antioquia,U
Entrerríos,Antioquia,U
Guarne,Antioquia,U
Santo Domingo,Antioquia,U
Yalí,Antioquia,U
Antioquia,Antioquia,U
Briceño,Antioquia,U
Caldas,Antioquia,U
Peñol,Antioquia,U
Salgar,Antioquia,U
San Jaronimo,Antioquia,U
San Pedro de Urabá,Antioquia,U
Santa Bárbara,Antioquia,U
Sopetrán,Antioquia,U
Venecia,Antioquia,U
Chigorodó,Antioquia,U
Girardota,Antioquia,U
La Estrella,Antioquia,U
Maceo,Antioquia,U
Retiro,Antioquia,U
Urrao,Antioquia,U
Puerto Rondón,Arauca,ASI
Cravo Norte,Arauca,CR
Tame,Arauca,MIO
Arauquita,Arauca,PDA
Fortul,Arauca,PDA
Saravena,Arauca,U
Arauca,Arauca,U
Repelón,Atlántico,Aico
Barranquilla,Atlántico,CR
Galapa,Atlántico,CR
Malambo,Atlántico,CR
Polonuevo,Atlántico,CR
Ponedera,Atlántico,CR
Manatí,Atlántico,CR
Piojó,Atlántico,CR
Baranoa,Atlántico,CR
Campo de la Cruz,Atlántico,CR
Candelaria,Atlántico,CR
Puerto Colombia,Atlántico,CR
Santo Tomás,Atlántico,CR
Sabanalarga,Atlántico,PC
Palmar de Varela,Atlántico,PC
Tubará,Atlántico,PC
Sabanagrande,Atlántico,PL
Soledad,Atlántico,PL
Usiacurí,Atlántico,PL
Luruaco,Atlántico,U
Juan de Acosta,Atlántico,U
Santa Lucía,Atlántico,U
Suan,Atlántico,U
Zambrano,Bolívar,Afrovides
Arjona,Bolívar,Aico
Turbaco,Bolívar,ASI
Cartagena,Bolívar,ASI
Magangué,Bolívar,AV
Villanueva,Bolívar,AV
Mompos,Bolívar,AV
Córdoba,Bolívar,CR
Mahates,Bolívar,CR
Santa Catalina,Bolívar,CR
Simití,Bolívar,CR
El Guamo,Bolívar,CR
Morales,Bolívar,CR
San Estanislao,Bolívar,CR
San Pablo,Bolívar,CR
María La Baja,Bolívar,MIO
Calamar,Bolívar,PC
El Peñón,Bolívar,PC
Soplaviento,Bolívar,PC
Cantagallo,Bolívar,PC
Cicuco,Bolívar,PC
Turbaná,Bolívar,PC
Nororsí,Bolívar,PC
Santa Rosa del Sur,Bolívar,PC
Barranco de Loba,Bolívar,PIN
Arenal,Bolívar,PIN
San Fernando,Bolívar,PIN
Margarita,Bolívar,PIN
Montecristo,Bolívar,PIN
Santa Rosa,Bolívar,PIN
San Cristóbal,Bolívar,PIN
Regidor,Bolívar,PL
San Jacinto,Bolívar,PL
Altos del Rosario,Bolívar,PL
San Jacinto del Cauca,Bolívar,PL
Hatillo de Loba,Bolívar,U
San Juan Nepomuceno,Bolívar,U
Carmen de Bolívar,Bolívar,U
Talaiga Nuevo,Bolívar,U
Achí,Bolívar,U
Pinillos,Bolívar,U
Río Viejo,Bolívar,U
Arroyohondo,Bolívar,U
Clemencia,Bolívar,U
San Martín de Loba,Bolívar,U
Tiquisio,Bolívar,U
Chinavita,Boyacá,ASI
Sáchica,Boyacá,ASI
Santana,Boyacá,ASI
Sutamarchán,Boyacá,ASI
Tunja,Boyacá,AV
Quipama,Boyacá,AV
Chivor,Boyacá,AV
Coper,Boyacá,AV
Maripi,Boyacá,AV
Nobsa,Boyacá,AV
Sora,Boyacá,AV
Pisba,Boyacá,AV
Aquitania,Boyacá,AV
Chivata,Boyacá,AV
Floresta,Boyacá,AV
Paya,Boyacá,AV
Siachoque,Boyacá,AV
Berbeo,Boyacá,AV
Soracá,Boyacá,AV
Covarachia,Boyacá,AV
La Uvita,Boyacá,AV
Samacá,Boyacá,AV
San Eduardo,Boyacá,AV
El Espino,Boyacá,CR
Guateque,Boyacá,CR
Labranzagrande,Boyacá,CR
Monguí,Boyacá,CR
Mongua,Boyacá,CR
Ráquira,Boyacá,CR
Sotaquirá,Boyacá,CR
Briceño,Boyacá,CR
Busbanza,Boyacá,CR
Buenavista,Boyacá,CR
Chiquinquirá,Boyacá,CR
Corrales,Boyacá,CR
Garagoa,Boyacá,CR
Oicata,Boyacá,Firmas
Topaga,Boyacá,Firmas
Tota,Boyacá,Firmas
Villa de Leiva,Boyacá,Firmas
Ventaquemada,Boyacá,Firmas
Combita,Boyacá,Firmas
Pesca,Boyacá,PC
Saboya,Boyacá,PC
Chita,Boyacá,PC
Otanche,Boyacá,PC
Pachavita,Boyacá,PC
Umbita,Boyacá,PC
Gameza,Boyacá,PC
Muzo,Boyacá,PC
Somondoco,Boyacá,PC
Sutatenza,Boyacá,PC
Tibasosa,Boyacá,PC
Viracacha,Boyacá,PC
Tinjacá,Boyacá,PC
Santa Sofía,Boyacá,PC
Sativasur,Boyacá,PC
Susacon,Boyacá,PC
Tenza,Boyacá,PC
Paz del Río,Boyacá,PC
San Miguel de Sema,Boyacá,PC
Socha,Boyacá,PC
Cerinza,Boyacá,PC
Ciénega,Boyacá,PC
Firavitoba,Boyacá,PC
Guayata,Boyacá,PC
Jericó,Boyacá,PC
Moniquirá,Boyacá,PC
Santa Rosa de Viterbo,Boyacá,PC
Motavita,Boyacá,PIN
Guacamayas,Boyacá,PIN
Tutazá,Boyacá,PIN
Cubara,Boyacá,PL
Chiscas,Boyacá,PL
Caldas,Boyacá,PL
Tibaná,Boyacá,PL
Belén,Boyacá,PL
Duitama,Boyacá,PL
El Cocuy,Boyacá,PL
Toguí,Boyacá,PL
Chíquiza,Boyacá,PL
Jenesano,Boyacá,PL
Ramiriquí,Boyacá,PL
Socota,Boyacá,PL
Tuta,Boyacá,PL
Miraflores,Boyacá,PL
Sogamoso,Boyacá,PL
