ciudad,departamento,población
Bogotá,Bogotá,7878783
Medellín,Antioquia,2464322
Cali,Valle del Cauca,2369821
Barranquilla,Atlántico,1218475
Cartagena,Bolívar,1001755
Cúcuta,Norte de Santander,650011
Soledad,Atlántico,615492
Ibagué,Tolima,553524
Bucaramanga,Santander,527913
Soacha,Cundinamarca,511262
Villavicencio,Meta,484471
Santa Marta,Magdalena,483865
Pereira,Risaralda,469612
Bello,Antioquia,455865
Valledupar,Cesar,453215
Montería,Córdoba,441301
Pasto,Nariño,439993
Buenaventura,Valle del Cauca,399764
Manizales,Caldas,396075
Neiva,Huila,342117
Palmira,Valle del Cauca,304735
Armenia,Quindío,296683
Popayán,Cauca,277540
Sincelejo,Sucre,275207
Itaguí,Antioquia,267851
Floridablanca,Santander,265407
Riohacha,La Guajira,259492
Envigado,Antioquia,222455
Tuluá,Valle del Cauca,211588
