"code","municipio","departamento","TMIN_CLAS_COBRE_A_1_1","conf_uso_2"
5001,"Medellín","Antioquia",0,1.348184
5002,"Abejorral","Antioquia",0,1.348184
5004,"Abriaquí","Antioquia",0,-0.326394
5021,"Alejandria","Antioquia",0,-0.326394
5030,"Amagá","Antioquia",0,-0.326394
5031,"Amalfi","Antioquia",1,2.114971
5034,"Andes","Antioquia",1,1.348184
5036,"Angelópolis","Antioquia",0,-0.326394
5038,"Angostura","Antioquia",0,2.114971
5040,"Anorí","Antioquia",1,-2.187426
5042,"Santa Fé de Antioquia","Antioquia",0,1.348184
5044,"Anzá","Antioquia",1,-0.326394
5045,"Apartadó","Antioquia",0,0.253939
5051,"Arboletes","Antioquia",0,0.440392
5055,"Argelia","Antioquia",0,1.348184
5059,"Armenia","Antioquia",0,-0.326394
5079,"Barbosa","Antioquia",0,2.114971
5086,"Belmira","Antioquia",1,-0.326394
5088,"Bello","Antioquia",0,2.114971
5091,"Betania","Antioquia",0,-0.326394
5093,"Betulia","Antioquia",0,1.348184
5101,"Bolívar","Antioquia",0,1.348184
5107,"Briceño","Antioquia",0,-2.187426
5113,"Burítica","Antioquia",1,-2.187426
5120,"Cáceres","Antioquia",0,0.253939
5125,"Caicedo","Antioquia",0,-0.326394
5129,"Caldas","Antioquia",0,1.348184
5134,"Campamento","Antioquia",0,-0.326394
5138,"Cañasgordas","Antioquia",1,1.348184
5142,"Caracolí","Antioquia",0,-0.326394
5145,"Caramanta","Antioquia",0,1.348184
5147,"Carepa","Antioquia",0,-1.42064
5148,"Carmen de Viboral","Antioquia",0,2.114971
5150,"Carolina","Antioquia",0,2.114971
5154,"Caucasia","Antioquia",0,2.114971
5172,"Chigorodó","Antioquia",0,-1.42064
5190,"Cisneros","Antioquia",0,2.114971
5197,"Cocorná","Antioquia",1,2.114971
5206,"Concepción","Antioquia",0,-0.326394
5209,"Concordia","Antioquia",1,-0.326394
5212,"Copacabana","Antioquia",0,2.114971
5234,"Dabeiba","Antioquia",1,-0.326394
5237,"Don Matías","Antioquia",0,2.114971
5240,"Ebéjico","Antioquia",0,2.114971
5250,"El Bagre","Antioquia",1,0.253939
5264,"Entrerríos","Antioquia",0,0.440392
5266,"Envigado","Antioquia",0,1.348184
5282,"Fredonia","Antioquia",0,1.348184
5284,"Frontino","Antioquia",1,-1.42064
5306,"Giraldo","Antioquia",0,-0.326394
5308,"Girardota","Antioquia",0,2.114971
5310,"Gómez Plata","Antioquia",0,2.114971
5313,"Granada","Antioquia",0,2.114971
5315,"Guadalupe","Antioquia",1,1.348184
5318,"Guarne","Antioquia",0,2.114971
5321,"Guatapé","Antioquia",0,-0.512848
5347,"Heliconia","Antioquia",0,-0.326394
5353,"Hispania","Antioquia",0,2.114971
5360,"Itagüí","Antioquia",0,1.348184
5361,"Ituango","Antioquia",0,-2.187426
5364,"Jardín","Antioquia",1,1.348184
5368,"Jericó","Antioquia",1,-0.326394
5376,"La Ceja","Antioquia",0,2.114971
5380,"La Estrella","Antioquia",0,1.348184
5390,"La Pintada","Antioquia",0,2.114971
5400,"La Unión","Antioquia",1,1.348184
5411,"Liborina","Antioquia",0,1.348184
5425,"Maceo","Antioquia",1,2.114971
5440,"Marinilla","Antioquia",0,2.114971
5467,"Montebello","Antioquia",0,1.348184
5475,"Murindó","Antioquia",1,-2.187426
5480,"Mutatá","Antioquia",1,-1.42064
5483,"Nariño","Antioquia",0,1.348184
5490,"Necoclí","Antioquia",0,0.253939
5495,"Nechí","Antioquia",1,-1.42064
5501,"Olaya","Antioquia",0,2.114971
5541,"Peñol","Antioquia",0,-0.326394
5543,"Peque","Antioquia",0,-0.326394
5576,"Pueblorrico","Antioquia",1,0.440392
5579,"Puerto Berrío","Antioquia",1,0.440392
5585,"Puerto Nare","Antioquia",0,2.114971
5591,"Puerto Triunfo","Antioquia",0,0.253939
5604,"Remedios","Antioquia",1,-1.42064
5607,"Retiro","Antioquia",0,2.114971
5615,"Ríonegro","Antioquia",0,0.253939
5628,"Sabanalarga","Antioquia",0,-1.42064
5631,"Sabaneta","Antioquia",0,1.348184
5642,"Salgar","Antioquia",0,-0.326394
5647,"San Andrés de Cuerquía","Antioquia",0,0.440392
5649,"San Carlos","Antioquia",0,-2.187426
5652,"San Francisco","Antioquia",0,-0.326394
5656,"San Jerónimo","Antioquia",0,2.114971
5658,"San José de Montaña","Antioquia",0,1.348184
5659,"San Juan de Urabá","Antioquia",0,0.440392
5660,"San Luís","Antioquia",0,-2.187426
5664,"San Pedro","Antioquia",0,2.114971
5665,"San Pedro de Urabá","Antioquia",0,-1.42064
5667,"San Rafael","Antioquia",0,-0.512848
5670,"San Roque","Antioquia",1,-0.326394
