departamento,población
Bogotá,7878783
Antioquia,6456299
Valle del Cauca,4613684
Cundinamarca,2680041
Atlántico,2460863
Bolívar,2097161
Santander,2061079
Nariño,1744228
Córdoba,1709644
Tolima,1408272
Cauca,1379169
Norte de Santander,1355787
Boyacá,1276407
Magdalena,1259822
Huila,1154777
Cesar,1028890
Caldas,987991
Meta,961334
La Guajira,957797
Risaralda,951953
Sucre,851515
Quindío,565310
Chocó,500093
Caquetá,477642
Casanare,356479
Putumayo,345204
Arauca,262315
Guaviare,111060
San Andrés y Providencia,76442
Amazonas,76243
Vichada,71974
Vaupés,43665
Guainía,41482
