"mupio","depto","accionesMilitares","IDH_1_1"
"MEDELLIN","ANTIOQUIA",100,0.749265
"ABEJORRAL","ANTIOQUIA",61,0.606037
"ABRIAQUI","ANTIOQUIA",16,0.636804
"ALEJANDRIA","ANTIOQUIA",12,0.62551
"AMAGA","ANTIOQUIA",1,0.621113
"AMALFI","ANTIOQUIA",44,0.601612
"ANDES","ANTIOQUIA",15,0.61083
"ANGELOPOLIS","ANTIOQUIA",0,0.607203
"ANGOSTURA","ANTIOQUIA",21,0.582669
"ANORI","ANTIOQUIA",113,0.666687
"SANTA_FE_DE_ANTIOQUIA","ANTIOQUIA",19,0.599325
"ANZA","ANTIOQUIA",3,0.62364
"APARTADO","ANTIOQUIA",76,0.587964
"ARBOLETES","ANTIOQUIA",0,0.586456
"ARGELIA","ANTIOQUIA",57,0.588541
"ARMENIA","ANTIOQUIA",0,1
"BARBOSA","ANTIOQUIA",24,0.650218
"BELMIRA","ANTIOQUIA",0,0.613038
"BELLO","ANTIOQUIA",8,0.675083
"BETANIA","ANTIOQUIA",0,0.601791
"BETULIA","ANTIOQUIA",16,0.61895
"CIUDAD_BOLIVAR","ANTIOQUIA",5,0.638392
"BRICENO","ANTIOQUIA",24,0.586269
"BURITICA","ANTIOQUIA",0,0.553454
"CACERES","ANTIOQUIA",31,0.555628
"CAICEDO","ANTIOQUIA",24,0.567182
"CALDAS","ANTIOQUIA",20,0.63575
"CAMPAMENTO","ANTIOQUIA",43,0.578161
"CANASGORDAS","ANTIOQUIA",11,0.591777
"CARACOLI","ANTIOQUIA",8,0.633139
"CARAMANTA","ANTIOQUIA",3,0.624436
"CAREPA","ANTIOQUIA",23,0.620303
"EL_CARMEN_DE_VIBORAL","ANTIOQUIA",28,0.643177
"CAROLINA","ANTIOQUIA",0,0.657769
"CAUCASIA","ANTIOQUIA",4,0.60599
"CHIGORODO","ANTIOQUIA",17,0.600994
"CISNEROS","ANTIOQUIA",2,0.63701
"COCORNA","ANTIOQUIA",135,0.593055
"CONCEPCION","ANTIOQUIA",22,0.613112
"CONCORDIA","ANTIOQUIA",0,0.568425
"COPACABANA","ANTIOQUIA",8,0.683403
"DABEIBA","ANTIOQUIA",111,0.530068
"DONMATIAS","ANTIOQUIA",0,0.65271
"EBEJICO","ANTIOQUIA",0,0.599463
"EL_BAGRE","ANTIOQUIA",109,0.58444
"ENTRERRIOS","ANTIOQUIA",0,0.671681
"ENVIGADO","ANTIOQUIA",0,0.772542
"FREDONIA","ANTIOQUIA",1,0.643626
"FRONTINO","ANTIOQUIA",36,0.584607
"GIRALDO","ANTIOQUIA",0,0.607054
"GIRARDOTA","ANTIOQUIA",0,0.729431
"GOMEZ_PLATA","ANTIOQUIA",4,0.624521
"GRANADA","ANTIOQUIA",120,0.638388
"GUADALUPE","ANTIOQUIA",4,0.613361
"GUARNE","ANTIOQUIA",8,0.654421
"GUATAPE","ANTIOQUIA",12,0.663311
"HELICONIA","ANTIOQUIA",0,0.605429
"HISPANIA","ANTIOQUIA",0,0.60864
"ITAGUI","ANTIOQUIA",4,0.743121
"ITUANGO","ANTIOQUIA",152,0.56343
"JARDIN","ANTIOQUIA",4,0.623625
"JERICO","ANTIOQUIA",2,0.613489
"LA_CEJA","ANTIOQUIA",2,0.672587
"LA_ESTRELLA","ANTIOQUIA",3,0.708048
"LA_PINTADA","ANTIOQUIA",0,0.661923
"LA_UNION","ANTIOQUIA",39,0.616141
"LIBORINA","ANTIOQUIA",0,0.605709
"MACEO","ANTIOQUIA",0,0.622261
"MARINILLA","ANTIOQUIA",1,0.648813
"MONTEBELLO","ANTIOQUIA",14,0.658897
"MURINDO","ANTIOQUIA",7,0.507563
"MUTATA","ANTIOQUIA",45,0.559938
