country,military
Afghanistan,10.4
Albania,6.8
Algeria,10.7
Angola,9.1
Antigua and Barbuda,2.9
Argentina,2.6
Armenia,86.7
Australia,3.4
Austria,5.8
Azerbaijan,40.1
The Bahamas,2.8
Bahrain,14.5
Bangladesh,17.3
Barbados,3.7
Belarus,48.7
Belgium,3.4
Belize,5.7
Benin,0.8
Bhutan,12.1
Bolivia,8.5
Bosnia and Herzegovina,2.3
Botswana,5.3
Brazil,10
Brunei,23.9
Bulgaria,49.3
Burkina Faso,0.7
Myanmar,9.3
Burundi,5.4
Cambodia,13.2
Cameroon,1.2
Canada,4.1
Cape Verde,2.8
Central African Republic,0.7
Chad,3.4
Chile,8.7
China,5.1
Colombia,29.7
Costa Rica,2.1
Croatia,9
Cuba,10
Cyprus,73.1
Czech Republic,2.5
Ivory Coast,1.4
Democratic Republic of the Congo,2.1
North Korea,308.5
Denmark,14.6
Djibouti,41.6
Dominican Republic,4.1
Ecuador,12.1
Egypt,14.9
El Salvador,5.9
Equatorial Guinea,5.2
Eritrea,50.4
Estonia,36.3
Ethiopia,1.6
Fiji,10.1
Finland,177.2
France,4.9
Gabon,4.4
The Gambia,0.4
Georgia (country),50.8
Germany,2.7
Ghana,0.6
Greece,30
Guatemala,7.4
Guinea,1.9
Guinea-Bissau,4.2
Guyana,4.3
Haiti,0.2
Honduras,10.2
Hungary,7.9
Iceland,0.7
India,3.9
Indonesia,4.3
Iran,11.4
Iraq,24.6
Republic of Ireland,3
Israel,78.3
Italy,6.2
Jamaica,1.3
Japan,2.5
Jordan,27.1
Kazakhstan,5.2
Kenya,0.7
Kosovo,1.9
Kuwait,17.2
Kyrgyzstan,3.8
Laos,18.9
Latvia,6.8
Lebanon,22.4
Lesotho,0.9
Liberia,0.7
Libya,7.4
Lithuania,9
Luxembourg,3.1
Madagascar,1
Malawi,0.5
Malaysia,16.7
Mali,1.1
Malta,5.2
Mauritania,6.7
Mauritius,1.6
Mexico,3.8
Moldova,15.2
Mongolia,50.7
Montenegro,19.5
Morocco,12.7
Mozambique,0.5
Namibia,7.2
Nepal,5.5
Netherlands,2.7
New Zealand,2.8
Nicaragua,2
Niger,0.7
Nigeria,1
Norway,16.2
Oman,13.8
Pakistan,7.3
State of Palestine,14
Panama,3.6
Papua New Guinea,0.5
Paraguay,27.2
Peru,12.9
Philippines,7
Poland,5
Portugal,28
Qatar,5.5
Republic of Macedonia,6.2
Republic of the Congo,3
Romania,8.9
Russia,19.6
Rwanda,3.3
Saudi Arabia,8.7
Senegal,1.4
Serbia,12
Seychelles,7.4
Sierra Leone,2
Singapore,186.8
Slovakia,4.2
Slovenia,4.3
Somalia,4.2
South Africa,1.8
South Korea,72.7
Spain,4.7
Sri Lanka,17.7
Sudan,5.2
South Sudan,3.4
Suriname,3.8
Sweden,5.3
Switzerland,31.5
Syria,13.9
Taiwan,80.9
Tajikistan,2.2
Tanzania,2.6
Thailand,9.9
East Timor,1.3
Togo,1.5
Trinidad and Tobago,3.3
Tunisia,4.6
Turkey,13.3
Turkmenistan,4.5
Uganda,1.4
Ukraine,23.4
United Arab Emirates,5.5
United Kingdom,3.6
United States,6.9
Uruguay,7.3
Uzbekistan,2.5
Venezuela,4.6
Vietnam,38.8
Yemen,6
Zambia,1.6
Zimbabwe,3.9
