id_prov,dpa_provin,dpa_despro,dpa_valor,dpa_anio,rei_codigo,ren_codigo,pee_codigo,codigo,codigo_1,nombre,pob_mas,pob_fem,pob_tot,si_lee,no_lee,total,analfabeti,promedio_e,pobres_nbi,no_pobres,pob_nopob_,densidad,edad_media,cartodb_id,created_at,updated_at
1,01,AZUAY,0,2012,05,01,593,1,1,AZUAY,337044,375083,712127,591470,51920,643390,6.7,9.01,338073,361875,699948,85.7,28.85,1,2015-04-20T23:35:12Z,2015-04-21T16:01:08Z
2,02,BOLIVAR,0,2012,02,01,593,2,2,BOLIVAR,89875,93766,183641,142762,22157,164919,13.9,7.79,139044,43098,182142,46.55,29.24,2,2015-04-20T23:35:12Z,2015-04-21T16:01:30Z
3,03,CAÑAR,0,2012,05,01,593,3,3,CAÑAR,105235,119949,225184,177950,24313,202263,12.2,7.75,150549,72654,223203,71.58,28.58,3,2015-04-20T23:35:12Z,2015-04-21T16:01:49Z
4,04,CARCHI,0,2012,04,01,593,4,4,CARCHI,81155,83369,164524,137710,11452,149162,6.2,8.36,93049,69728,162777,43.52,29.74,4,2015-04-20T23:35:12Z,2015-04-21T16:01:54Z
5,05,COTOPAXI,0,2012,02,01,593,5,5,COTOPAXI,198625,210580,409205,317778,48936,366714,13.6,7.82,304474,101152,405626,66.99,28.04,5,2015-04-20T23:35:12Z,2015-04-21T16:02:12Z
6,06,CHIMBORAZO,0,2012,02,01,593,6,6,CHIMBORAZO,219401,239180,458581,359647,53670,413317,13.5,8.16,301653,151654,453307,70.55,29.24,6,2015-04-20T23:35:12Z,2015-04-21T16:02:18Z
7,07,EL ORO,0,2012,03,02,593,7,7,EL ORO,304362,296297,600659,515373,29506,544879,4.1,9.18,363174,229862,593036,104.16,28.8,7,2015-04-20T23:35:12Z,2015-04-21T16:02:41Z
8,08,ESMERALDAS,0,2012,04,02,593,8,8,ESMERALDAS,271312,262780,534092,413176,56418,469594,9.8,7.9,415046,114986,530032,33.11,25.79,8,2015-04-20T23:35:12Z,2015-04-21T16:02:46Z
9,09,GUAYAS,0,2012,03,02,593,9,9,GUAYAS,1815914,1829569,3645483,3084498,201307,3285805,5,9.37,2103761,1498111,3601872,236.25,28.71,9,2015-04-20T23:35:12Z,2015-04-21T16:02:59Z
10,10,IMBABURA,0,2012,04,01,593,10,10,IMBABURA,193664,204580,398244,318249,40999,359248,10.6,8.47,214241,181164,395405,86.81,28.88,10,2015-04-20T23:35:12Z,2015-04-21T16:03:16Z
