scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,3,Afghanistan,AFG,0,2,Sovereign country,Afghanistan,AFG,0,Afghanistan,AFG,0,Afghanistan,AFG,0,Afghanistan,Afghanistan,AFG,Afghanistan,,Afg.,AF,Islamic State of Afghanistan,,,,Afghanistan,,5,6,8,7,28400000,22270,-99,1979,-99,7. Least developed region,5. Low income,-99,,AF,AFG,004,004,AF,AFG,-99,AFG,AFG,-99,-99,Asia,Asia,Southern Asia,South Asia,11,11,4,-99,1
0,Admin-0 map subunit,4,United Arab Emirates,ARE,0,2,Sovereign country,United Arab Emirates,ARE,0,United Arab Emirates,ARE,0,United Arab Emirates,ARE,0,United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,,U.A.E.,AE,United Arab Emirates,,,,United Arab Emirates,,2,1,3,3,4798491,184300,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,AE,ARE,784,784,AE,ARE,-99,ARE,ARE,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,20,20,6,-99,1
0,Admin-0 map subunit,6,Armenia,ARM,0,2,Sovereign country,Armenia,ARM,0,Armenia,ARM,0,Armenia,ARM,0,Armenia,Armenia,ARM,Armenia,,Arm.,ARM,Republic of Armenia,,,,Armenia,,3,1,2,10,2967004,18770,-99,2001,-99,6. Developing region,4. Lower middle income,-99,,AM,ARM,051,051,AM,ARM,-99,ARM,ARM,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,7,7,4,-99,1
0,Admin-0 map subunit,5,Azerbaijan,AZE,0,2,Sovereign country,Azerbaijan,AZE,0,Azerbaijan,AZE,0,Azerbaijan,AZE,0,Azerbaijan,Azerbaijan,AZE,Azerbaijan,,Aze.,AZ,Republic of Azerbaijan,,,,Azerbaijan,,1,6,5,8,8238672,77610,-99,2009,-99,6. Developing region,3. Upper middle income,-99,,AZ,AZE,031,031,AZ,AZE,-99,AZE,AZE,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,10,10,4,-99,1
0,Admin-0 map subunit,3,Bangladesh,BGD,0,2,Sovereign country,Bangladesh,BGD,0,Bangladesh,BGD,0,Bangladesh,BGD,0,Bangladesh,Bangladesh,BGD,Bangladesh,,Bang.,BD,People's Republic of Bangladesh,,,,Bangladesh,,3,4,7,7,156050883,224000,-99,2011,-99,7. Least developed region,5. Low income,-99,,BD,BGD,050,050,BD,BGD,-99,BGD,BGD,-99,-99,Asia,Asia,Southern Asia,South Asia,10,10,5,-99,1
5,Admin-0 map subunit,4,Bahrain,BHR,0,2,Sovereign country,Bahrain,BHR,0,Bahrain,BHR,0,Bahrain,BHR,0,Bahrain,Bahrain,BHR,Bahrain,,Bahr.,BH,Kingdom of Bahrain,,,,Bahrain,,1,1,1,9,727785,26820,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,BH,BHR,048,048,BH,BHR,-99,BHR,BHR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,7,7,5,2,1
0,Admin-0 map subunit,6,Brunei,BRN,0,2,Sovereign country,Brunei,BRN,0,Brunei,BRN,0,Brunei,BRN,0,Brunei,Brunei Darussalam,BRN,Brunei,,Brunei,BN,Negara Brunei Darussalam,,,,Brunei,,4,6,6,12,388190,20250,-99,2001,-99,6. Developing region,2. High income: nonOECD,-99,,BN,BRN,096,096,BN,BRN,-99,BRN,BRN,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,6,17,6,2,1
0,Admin-0 map subunit,5,Bhutan,BTN,0,2,Sovereign country,Bhutan,BTN,0,Bhutan,BTN,0,Bhutan,BTN,0,Bhutan,Bhutan,BTN,Bhutan,,Bhutan,BT,Kingdom of Bhutan,,,,Bhutan,,5,6,1,8,691141,3524,-99,2005,-99,7. Least developed region,4. Lower middle income,-99,,BT,BTN,064,064,BT,BTN,-99,BTN,BTN,-99,-99,Asia,Asia,Southern Asia,South Asia,6,6,6,-99,1
6,Admin-0 map subunit,5,Australia,AU1,1,3,Geo unit,Indian Ocean Territories,IOA,1,Cocos (Keeling) Islands,CCK,0,Cocos (Keeling) Islands,CCK,0,Cocos Is.,Cocos Islands,CCK,Cocos Is.,,Cocos Is.,CC,Territory of Cocos (Keeling) Islands,,Auz.,,Cocos (Keeling) Islands,,1,2,2,7,621,9.315,0,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,CC,CCK,166,166,-99,-99,-99,CCK,IOA,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,9,13,9,-99,-99
0,Admin-0 map subunit,2,China,CH1,1,4,Geo subunit,China,CHN,0,China,CHN,1,Hainan,CHH,0,Hainan,Hainan,CHH,Hainan,,Hainan,HN,,,China,,Hainan,,4,4,4,3,8640700,51465.436797,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,CHN,CHN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,6,6,6,-99,1
