scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
3,Admin-0 map subunit,5,Netherlands,NL1,1,2,Country,Aruba,ABW,0,Aruba,ABW,0,Aruba,ABW,0,Aruba,Aruba,ABW,Aruba,,Aruba,AW,Aruba,,Neth.,,Aruba,,4,2,2,9,103065,2258,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,AW,ABW,533,533,AW,ABW,-99,ABW,ABW,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,5,5,5,4,-99
3,Admin-0 map subunit,8,Antigua and Barbuda,ATG,0,3,Geo unit,Antigua and Barbuda,ATG,1,Antigua,ACA,0,Antigua,ACA,0,Antigua,Antigua,ACA,Antigua,,Ant.,AT,,,,,Antigua,,2,2,5,5,84262,1630.490167,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,-99,-99,-99,-099,-99,-99,-99,ATG,ATG,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,7,7,4,-99,-99
3,Admin-0 map subunit,8,Antigua and Barbuda,ATG,0,3,Geo unit,Antigua and Barbuda,ATG,1,Barbuda,ACB,0,Barbuda,ACB,0,Barbuda,Barbuda,ACB,Barbuda,,Barb.,BS,,,,,Barbuda,,2,2,5,5,1370,26.509833,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,-99,-99,-99,-099,-99,-99,-99,ATG,ATG,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,7,7,5,-99,-99
3,Admin-0 map subunit,6,United Kingdom,GB1,1,2,Dependency,Anguilla,AIA,0,Anguilla,AIA,0,Anguilla,AIA,0,Anguilla,Anguilla,AIA,Anguilla,,Ang.,AI,,,U.K.,,Anguilla,,6,6,6,3,14436,108.9,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,AI,AIA,660,660,-99,-99,-99,AIA,AIA,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,8,8,4,-99,-99
3,Admin-0 map subunit,4,The Bahamas,BHS,0,2,Sovereign country,The Bahamas,BHS,0,The Bahamas,BHS,0,The Bahamas,BHS,0,Bahamas,Bahamas,BHS,Bahamas,,Bhs.,BS,Commonwealth of the Bahamas,,,,"Bahamas, The",,1,1,2,5,309156,9093,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,BS,BHS,044,044,BS,BHS,-99,BHS,BHS,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,7,7,4,-99,1
6,Admin-0 map subunit,8,Bajo Nuevo Bank (Petrel Is.),BJN,0,2,Indeterminate,Bajo Nuevo Bank (Petrel Is.),BJN,0,Bajo Nuevo Bank (Petrel Is.),BJN,0,Bajo Nuevo Bank (Petrel Is.),BJN,1,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Islands),B41,Bajo Nuevo Bank (Petrel Is.),,,,,,Disputed,"Claimed by Columbia, Jamaica, Nicaragua and the United States",Bajo Nuevo Bank (Petrel Is.),,3,7,6,-99,-99,-99,2012,-99,2012,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,-99,B41,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,28,32,0,-99,1
6,Admin-0 map subunit,6,France,FR1,1,2,Dependency,Saint Barthelemy,BLM,0,Saint Barthelemy,BLM,0,Saint Barthelemy,BLM,0,St-Barth�lemy,Saint-Barth�lemy,BLM,St-Barth�lemy,,St. B.,BL,Saint-Barth�lemy,,Fr.,,St-Barth�lemy,,7,5,9,11,7448,255,-99,-99,-99,2. Developed region: nonG7,1. High income: OECD,-99,,BL,BLM,652,652,-99,-99,-99,BLM,BLM,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,13,16,6,4,-99
5,Admin-0 map subunit,7,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Navassa Island,BQI,0,Navassa Island,BQI,1,Navassa I.,Navassa Island,B34,Navassa I.,,Nav. I.,NI,,,U.S.A.,Admin. by U.S.A.; Claimed by Haiti,Navassa Island,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,BQI,UMI,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,10,14,7,-99,-99
3,Admin-0 map subunit,5,Barbados,BRB,0,2,Sovereign country,Barbados,BRB,0,Barbados,BRB,0,Barbados,BRB,0,Barbados,Barbados,BRB,Barbados,,Barb.,BB,Barbados,,,,Barbados,,4,1,5,3,284589,5425,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,BB,BRB,052,052,BB,BRB,-99,BRB,BRB,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,8,8,5,3,1
0,Admin-0 map subunit,3,Cuba,CUB,0,2,Sovereign country,Cuba,CUB,0,Cuba,CUB,0,Cuba,CUB,0,Cuba,Cuba,CUB,Cuba,,Cuba,CU,Republic of Cuba,,,,Cuba,,3,5,3,4,11451652,108200,-99,2002,-99,5. Emerging region: G20,3. Upper middle income,-99,,CU,CUB,192,192,CU,CUB,-99,CUB,CUB,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,4,4,4,-99,1
3,Admin-0 map subunit,5,Netherlands,NL1,1,2,Country,Cura�ao,CUW,0,Cura�ao,CUW,0,Cura�ao,CUW,0,Cura�ao,Cura�ao,CUW,Cura�ao,,Cur.,CW,Cura�ao,,Neth.,,Cura�ao,,4,2,2,9,141766,2838,-99,-99,-99,6. Developing region,2. High income: nonOECD,-99,,CW,CUW,531,531,CW,CUW,-99,CUW,CUW,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,7,7,4,4,-99
3,Admin-0 map subunit,5,United Kingdom,GB1,1,2,Dependency,Cayman Islands,CYM,0,Cayman Islands,CYM,0,Cayman Islands,CYM,0,Cayman Is.,Cayman Islands,CYM,Cayman Is.,,Cym. Is.,KY,Cayman Islands,,U.K.,,Cayman Islands,,6,6,6,3,49035,1939,-99,2010,-99,5. Emerging region: G20,2. High income: nonOECD,-99,,KY,CYM,136,136,KY,CYM,-99,CYM,CYM,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,10,14,8,2,-99
3,Admin-0 map subunit,6,Dominica,DMA,0,2,Sovereign country,Dominica,DMA,0,Dominica,DMA,0,Dominica,DMA,0,Dominica,Dominica,DMA,Dominica,,D'inca,DM,Commonwealth of Dominica,,,,Dominica,,4,5,2,12,72660,719.6,-99,2011,-99,6. Developing region,3. Upper middle income,-99,,DM,DMA,212,212,DM,DMA,-99,DMA,DMA,-99,-99,North America,Americas,Caribbean,Latin America & Caribbean,8,8,6,4,1
