scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,6,Albania,ALB,0,2,Sovereign country,Albania,ALB,0,Albania,ALB,0,Albania,ALB,0,Albania,Albania,ALB,Albania,,Alb.,AL,Republic of Albania,,,,Albania,,1,4,1,6,3639453,21810,-99,2001,-99,6. Developing region,4. Lower middle income,-99,,AL,ALB,008,008,AL,ALB,-99,ALB,ALB,-99,-99,Europe,Europe,Southern Europe,Europe & Central Asia,7,7,4,-99,1
3,Admin-0 map subunit,6,Finland,FI1,1,2,Country,Aland,ALD,0,Aland,ALD,0,Aland,ALD,0,Aland,Aland Islands,ALD,Aland,,Aland,AI,�land Islands,,Fin.,,Aland,,4,1,4,6,27153,1563,-99,-99,-99,2. Developed region: nonG7,1. High income: OECD,-99,,AX,ALA,248,248,-99,-99,-99,ALA,ALD,-99,-99,Europe,Europe,Northern Europe,Europe & Central Asia,5,13,5,5,-99
0,Admin-0 map subunit,6,Andorra,AND,0,2,Sovereign country,Andorra,AND,0,Andorra,AND,0,Andorra,AND,0,Andorra,Andorra,AND,Andorra,,And.,AND,Principality of Andorra,,,,Andorra,,1,4,1,8,83888,3660,-99,1989,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,AD,AND,020,020,AD,ADO,-99,AND,AND,-99,-99,Europe,Europe,Southern Europe,Europe & Central Asia,7,7,4,5,1
0,Admin-0 map subunit,4,Austria,AUT,0,2,Sovereign country,Austria,AUT,0,Austria,AUT,0,Austria,AUT,0,Austria,Austria,AUT,Austria,,Aust.,A,Republic of Austria,,,,Austria,,3,1,3,4,8210281,329500,-99,2011,-99,2. Developed region: nonG7,1. High income: OECD,-99,,AT,AUT,040,040,AT,AUT,-99,AUT,AUT,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,5,-99,1
0,Admin-0 map subunit,9,Belgium,BEL,0,3,Geo unit,Belgium,BEL,1,Brussels Capital Region,BCR,0,Brussels Capital Region,BCR,0,Brussels,Brussels,BCR,Brussels,,Brus.,BR,Brussels Hoofdstedelijk Gewest,,,,Brussels Capital Region,,3,2,1,8,1080790,40401.188035,-99,-99,-99,2. Developed region: nonG7,1. High income: OECD,-99,,-99,-99,-99,-099,-99,-99,-99,BEL,BEL,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,8,8,5,-99,-99
0,Admin-0 map subunit,9,Belgium,BEL,0,3,Geo unit,Belgium,BEL,1,Flemish Region,BFR,0,Flemish Region,BFR,0,Flemish,Flemish Region,BFR,Flemish,,Flem.,FL,Vlaams Gewest,,,,Flemish Region,,3,2,1,8,6251983,233706.400667,-99,-99,-99,2. Developed region: nonG7,1. High income: OECD,-99,,-99,-99,-99,-099,-99,-99,-99,BEL,BEL,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,14,5,-99,-99
0,Admin-0 map subunit,4,Bulgaria,BGR,0,2,Sovereign country,Bulgaria,BGR,0,Bulgaria,BGR,0,Bulgaria,BGR,0,Bulgaria,Bulgaria,BGR,Bulgaria,,Bulg.,BG,Republic of Bulgaria,,,,Bulgaria,,4,5,1,8,7204687,93750,-99,2011,-99,2. Developed region: nonG7,3. Upper middle income,-99,,BG,BGR,100,100,BG,BGR,-99,BGR,BGR,-99,-99,Europe,Europe,Eastern Europe,Europe & Central Asia,8,8,5,-99,1
0,Admin-0 map subunit,8,Bosnia and Herzegovina,BIH,0,3,Geo unit,Bosnia and Herzegovina,BIH,1,Bosnia and Herzegovina,BHF,0,Bosnia and Herzegovina,BHF,0,Fed. of Bos. & Herz.,Federation of Bosnia and Herzegovina,BHF,Fed. of Bos. & Herz.,,B.H.,BH,,,,,Bosnia and Herzegovina,,1,1,1,2,2327318,14982.688439,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,-99,-99,-99,-099,-99,-99,-99,BIH,BIH,-99,-99,Europe,Europe,Southern Europe,Europe & Central Asia,20,36,4,-99,-99
0,Admin-0 map subunit,8,Bosnia and Herzegovina,BIH,0,3,Geo unit,Bosnia and Herzegovina,BIH,1,Republic Srpska,BIS,0,Republic Srpska,BIS,0,Rep. Srpska,Republic Srpska,BIS,Rep. Srpska,,Srp.,SR,,,,,Republic Srpska,,1,1,1,2,1439673,9268.25299,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,-99,-99,-99,-099,-99,-99,-99,BIH,BIH,-99,-99,Europe,Europe,Southern Europe,Europe & Central Asia,11,15,4,-99,-99
0,Admin-0 map subunit,4,Belarus,BLR,0,2,Sovereign country,Belarus,BLR,0,Belarus,BLR,0,Belarus,BLR,0,Belarus,Belarus,BLR,Belarus,,Bela.,BY,Republic of Belarus,,,,Belarus,,1,1,5,11,9648533,114100,-99,2009,-99,6. Developing region,3. Upper middle income,-99,,BY,BLR,112,112,BY,BLR,-99,BLR,BLR,-99,-99,Europe,Europe,Eastern Europe,Europe & Central Asia,7,7,5,-99,1
