scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
5,Admin-0 map subunit,4,United States of America,US1,1,2,Dependency,American Samoa,ASM,0,American Samoa,ASM,0,American Samoa,ASM,0,American Samoa,American Samoa,ASM,American Samoa,,Am. Samoa,AS,American Samoa,,U.S.A.,,American Samoa,,4,5,1,1,65628,575.3,-99,2010,-99,6. Developing region,3. Upper middle income,-99,,AS,ASM,016,016,AS,ASM,-99,ASM,ASM,-99,-99,Oceania,Oceania,Polynesia,East Asia & Pacific,14,14,9,3,-99
0,Admin-0 map subunit,5,Australia,AU1,1,4,Geo subunit,Australia,AUS,0,Australia,AUS,1,Tasmania,AUA,0,Tasmania,Tasmania,AUA,Tasmania,,Tas.,TZ,,,Auz.,,Tasmania,,1,2,2,7,507626,19104.039108,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,AUS,AUS,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,8,8,4,-99,-99
5,Admin-0 map subunit,5,Australia,AU1,1,4,Geo subunit,Australia,AUS,0,Australia,AUS,1,Macquarie Island,AUM,0,Macquarie I.,Macquarie Island,AUM,Macquarie I.,,M.I.,MI,,,Auz.,,Macquarie Island,,1,2,2,7,30,1.129022,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,AUS,AUS,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,12,16,4,-99,-99
0,Admin-0 map subunit,2,Australia,AU1,1,4,Geo subunit,Australia,AUS,0,Australia,AUS,1,Australia,AUZ,0,Australia,Australia,AUZ,Australia,,Auz.,AZ,,,,,Australia,,1,2,2,7,20754985,781094.83187,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,AUS,AUS,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,9,9,4,-99,1
5,Admin-0 map subunit,5,Chile,CHL,0,4,Geo subunit,Chile,CHL,0,Chile,CHL,1,Easter Island,CHP,0,Easter I.,Easter Island,CHP,Easter I.,,E.I.,EI,Easter Island (Isla de Pascua),,Chile,,Easter Island,,5,1,5,9,4888,71.987537,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,CHL,CHL,-99,-99,Oceania,Oceania,Polynesia,East Asia & Pacific,9,13,4,-99,-99
5,Admin-0 map subunit,4,New Zealand,NZ1,1,2,Dependency,Cook Islands,COK,0,Cook Islands,COK,0,Cook Islands,COK,0,Cook Is.,Cook Islands,COK,Cook Is.,,Cook Is.,CK,,,Assoc. with N.Z.,,Cook Islands,,3,3,4,4,11870,183.2,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,CK,COK,184,184,-99,-99,-99,COK,COK,-99,-99,Oceania,Oceania,Polynesia,East Asia & Pacific,8,12,8,3,-99
6,Admin-0 map subunit,5,Australia,AU1,1,2,Dependency,Coral Sea Islands,CSI,0,Coral Sea Islands,CSI,0,Coral Sea Islands,CSI,0,Coral Sea Is.,Coral Sea Islands,CSI,Coral Sea Is.,,C.S.I.,CS,Coral Sea Islands Territory,,Auz.,,Coral Sea Islands,,1,2,2,7,4,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,AUS,CSI,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,13,17,6,-99,-99
6,Admin-0 map subunit,6,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Jarvis Island,DQI,0,Jarvis Island,DQI,0,Jarvis I.,Jarvis Island,DQI,Jarvis I.,,Jar. I.,JI,,,U.S.A.,,Jarvis Island,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,DQI,UMI,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,9,13,7,-99,-99
1,Admin-0 map subunit,6,Fiji,FJI,0,2,Sovereign country,Fiji,FJI,0,Fiji,FJI,0,Fiji,FJI,0,Fiji,Fiji,FJI,Fiji,,Fiji,FJ,Republic of Fiji,,,,Fiji,,5,1,2,2,944720,3579,-99,2007,-99,6. Developing region,4. Lower middle income,-99,,FJ,FJI,242,242,FJ,FJI,-99,FJI,FJI,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,4,4,4,-99,1
6,Admin-0 map subunit,6,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Baker Island,FQI,0,Baker Island,FQI,0,Baker I.,Baker Island,FQI,Baker I.,,Baker I.,BI,,,U.S.A.,,Baker Island,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,FQI,UMI,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,8,12,8,-99,-99
