scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
5,Admin-0 map subunit,4,Antarctica,ATA,0,4,Geo subunit,Antarctica,ATA,0,Antarctica,ATA,1,South Orkney Islands,ATS,0,S. Orkney Is.,S. Orkney Islands,ATS,S. Orkney Is.,,S. Ork. Is.,SO,,,,,South Orkney Islands,,4,5,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATA,ATA,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Antarctica,13,17,11,-99,-99
5,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Geo subunit,Saint Helena,SHN,0,Saint Helena,SHN,1,Ascension,BAC,0,Ascension,Ascension,BAC,Ascension,,Asc.,AS,,,U.K.,,Ascension,,6,6,6,3,940,2.21553,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,SHN,SHN,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Antarctica,9,9,4,3,-99
5,Admin-0 map subunit,5,Chile,CHL,0,4,Geo subunit,Chile,CHL,0,Chile,CHL,1,Isla Sala y Gomez,CHS,0,Isla Sala y Gomez,Isla Sala y Gomez,CHS,Isla Sala y Gomez,,S.yG.,SG,Isla Sala y Gomez,,Chile,,Isla Sala y Gomez,,5,1,5,9,-99,-99,-99,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,CHL,CHL,-99,-99,Seven seas (open ocean),Americas,South America,Latin America & Caribbean,17,17,5,-99,-99
6,Admin-0 map subunit,5,France,FR1,1,2,Dependency,Clipperton Island,CLP,0,Clipperton Island,CLP,0,Clipperton Island,CLP,0,Clipperton I.,Clipperton Island,CLP,Clipperton I.,,Clp. I.,CI,,,,,Clipperton Island,,7,5,9,11,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,FRA,CLP,-99,-99,Seven seas (open ocean),Americas,Central America,Latin America & Caribbean,13,17,7,-99,-99
3,Admin-0 map subunit,6,France,FR1,1,4,Geo subunit,French Southern and Antarctic Lands,ATF,0,French Southern and Antarctic Lands,ATF,1,French Southern Antarctic Lands,FSA,0,Fr. S. Antarctic Lands,French Southern and Antarctic Lands,FSA,Fr. S. Antarctic Lands,,Fr. S.A.L.,SA,,,Fr.,,French Southern Antactic Lands,,7,5,9,11,20,2.285714,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATF,ATF,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,22,35,10,-99,-99
6,Admin-0 map subunit,5,France,FR1,1,4,Geo subunit,French Southern and Antarctic Lands,ATF,0,French Southern and Antarctic Lands,ATF,1,Glorioso Islands,GOI,1,Glorioso Is.,Glorioso Islands,B24,Glorioso Is.,,Glor. Is.,GI,,,Fr.,Admin. by France; Claimed by Madagascar,Glorioso Islands,,7,5,9,11,20,2.285714,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATF,ATF,-99,-99,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,12,16,9,-99,-99
5,Admin-0 map subunit,5,Australia,AU1,1,2,Dependency,Heard Island and McDonald Islands,HMD,0,Heard Island and McDonald Islands,HMD,0,Heard Island and McDonald Islands,HMD,0,Heard I. and McDonald Is.,Heard I. and McDonald Islands,HMD,Heard I. and McDonald Is.,,H.M.Is.,HM,Territory of Heard Island and McDonald Islands,,Auz.,,Heard Island and McDonald Islands,,1,2,2,7,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,HM,HMD,334,-099,-99,-99,-99,HMD,HMD,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,25,29,7,-99,-99
3,Admin-0 map subunit,6,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,Andaman Islands,INA,0,Andaman Is.,Andaman Islands,INA,Andaman Is.,,And. Is.,AN,,,India,,Andaman Islands,,1,3,2,2,341949.6,966.836399,0,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Seven seas (open ocean),Asia,South-Eastern Asia,South Asia,11,15,8,-99,-99
5,Admin-0 map subunit,6,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,Lakshadweep,INL,0,Lakshadweep,Lakshadweep,INL,Lakshadweep,,Lak.,LK,,,India,,Lakshadweep,,1,3,2,2,60595,171.327738,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Seven seas (open ocean),Asia,Southern Asia,South Asia,11,11,4,-99,-99
3,Admin-0 map subunit,6,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,Nicobar Islands,INN,0,Nicobar Is.,Nicobar Islands,INN,Nicobar Is.,,Nic. Is.,NC,,,India,,Nicobar Islands,,1,3,2,2,37994.4,107.426267,0,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Seven seas (open ocean),Asia,South-Eastern Asia,South Asia,11,15,8,-99,-99
