scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,2,Argentina,ARG,0,2,Sovereign country,Argentina,ARG,0,Argentina,ARG,0,Argentina,ARG,0,Argentina,Argentina,ARG,Argentina,,Arg.,AR,Argentine Republic,,,,Argentina,,3,1,3,13,40913584,573900,-99,2010,-99,5. Emerging region: G20,3. Upper middle income,-99,,AR,ARG,032,032,AR,ARG,-99,ARG,ARG,-99,-99,South America,Americas,South America,Latin America & Caribbean,9,9,4,-99,1
0,Admin-0 map subunit,3,Bolivia,BOL,0,2,Sovereign country,Bolivia,BOL,0,Bolivia,BOL,0,Bolivia,BOL,0,Bolivia,Bolivia,BOL,Bolivia,,Bolivia,BO,Plurinational State of Bolivia,,,,Bolivia,,1,5,2,3,9775246,43270,-99,2001,-99,5. Emerging region: G20,4. Lower middle income,-99,,BO,BOL,068,068,BO,BOL,-99,BOL,BOL,-99,-99,South America,Americas,South America,Latin America & Caribbean,7,7,7,-99,1
0,Admin-0 map subunit,2,Brazil,BRA,0,2,Sovereign country,Brazil,BRA,0,Brazil,BRA,0,Brazil,BRA,0,Brazil,Brazil,BRA,Brazil,,Brazil,BR,Federative Republic of Brazil,,,,Brazil,,5,6,5,7,198739269,1993000,-99,2010,-99,3. Emerging region: BRIC,3. Upper middle income,-99,,BR,BRA,076,076,BR,BRA,-99,BRA,BRA,-99,-99,South America,Americas,South America,Latin America & Caribbean,6,6,6,-99,1
0,Admin-0 map subunit,7,Chile,CHL,0,4,Geo subunit,Chile,CHL,0,Chile,CHL,1,Chile,CHX,0,Chile,Chile,CHX,Chile,,Chile,CL,Republic of Chile,,,,Chile,,5,1,5,9,16596918,244429.470476,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,CHL,CHL,-99,-99,South America,Americas,South America,Latin America & Caribbean,5,5,5,-99,1
0,Admin-0 map subunit,2,Colombia,COL,0,2,Sovereign country,Colombia,COL,0,Colombia,COL,0,Colombia,COL,0,Colombia,Colombia,COL,Colombia,,Col.,CO,Republic of Colombia,,,,Colombia,,2,1,3,1,45644023,395400,-99,2006,-99,6. Developing region,3. Upper middle income,-99,,CO,COL,170,170,CO,COL,-99,COL,COL,-99,-99,South America,Americas,South America,Latin America & Caribbean,8,8,4,-99,1
0,Admin-0 map subunit,3,Ecuador,ECU,0,4,Geo subunit,Ecuador,ECU,0,Ecuador,ECU,1,Ecuador,ECD,0,Ecuador,Ecuador,ECD,Ecuador,,Ecu.,EQ,,,,,Ecuador,,1,5,2,12,14550101,107530.02245,-99,-99,0,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ECU,ECU,-99,-99,South America,Americas,South America,Latin America & Caribbean,7,7,4,-99,1
3,Admin-0 map subunit,6,Ecuador,ECU,0,4,Geo subunit,Ecuador,ECU,0,Ecuador,ECU,1,Galapagos Islands,ECG,0,Gal�pagos Is.,Gal�pagos Islands,ECG,Galapagus Is.,,Gal. Is.,GI,,,Ecu.,,Gal�pagos Islands,,1,5,2,12,23000,169.97755,-99,-99,0,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ECU,ECU,-99,-99,South America,Americas,South America,Latin America & Caribbean,13,17,8,-99,-99
1,Admin-0 map subunit,5,United Kingdom,GB1,1,2,Dependency,Falkland Islands,FLK,0,Falkland Islands,FLK,0,Falkland Islands,FLK,1,Falkland Is.,Falkland Islands,B12,Falkland Is.,,Flk. Is.,FK,Falkland Islands,,U.K.,Admin. by U.K.; Claimed by Argentina,Falkland Islands,Islas Malvinas,6,6,6,3,3140,105.1,-99,-99,-99,2. Developed region: nonG7,1. High income: OECD,-99,,FK,FLK,238,238,-99,-99,-99,FLK,FLK,-99,-99,South America,Americas,South America,Latin America & Caribbean,12,16,8,-99,-99
0,Admin-0 map subunit,4,France,FR1,1,3,Geo unit,France,FRA,1,French Guiana,GUF,0,French Guiana,GUF,0,French Guiana,French Guiana,GUF,French Guiana,,Fr. G.,GF,Department of Guiana,,Fr.,,French Guiana,,7,5,9,11,199509,1551,-99,-99,-99,1. Developed region: G7,3. Upper middle income,-99,,GF,GUF,254,254,-99,-99,-99,GUF,FRA,-99,-99,South America,Americas,South America,Latin America & Caribbean,13,13,6,-99,-99
0,Admin-0 map subunit,4,Guyana,GUY,0,2,Sovereign country,Guyana,GUY,0,Guyana,GUY,0,Guyana,GUY,0,Guyana,Guyana,GUY,Guyana,,Guy.,GY,Co-operative Republic of Guyana,,,,Guyana,,3,1,4,8,772298,2966,-99,2002,-99,6. Developing region,4. Lower middle income,-99,,GY,GUY,328,328,GY,GUY,-99,GUY,GUY,-99,-99,South America,Americas,South America,Latin America & Caribbean,6,6,4,-99,1
