scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,6,Brunei,BRN,0,2,Sovereign country,Brunei,BRN,0,Brunei,BRN,0,Brunei,BRN,0,Brunei,Brunei Darussalam,BRN,Brunei,,Brunei,BN,Negara Brunei Darussalam,,,,Brunei,,4,6,6,12,388190,20250,-99,2001,-99,6. Developing region,2. High income: nonOECD,-99,,BN,BRN,096,096,BN,BRN,-99,BRN,BRN,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,6,17,6,2,1
6,Admin-0 map subunit,5,Australia,AU1,1,3,Geo unit,Indian Ocean Territories,IOA,1,Cocos (Keeling) Islands,CCK,0,Cocos (Keeling) Islands,CCK,0,Cocos Is.,Cocos Islands,CCK,Cocos Is.,,Cocos Is.,CC,Territory of Cocos (Keeling) Islands,,Auz.,,Cocos (Keeling) Islands,,1,2,2,7,621,9.315,0,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,CC,CCK,166,166,-99,-99,-99,CCK,IOA,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,9,13,9,-99,-99
5,Admin-0 map subunit,5,Australia,AU1,1,3,Geo unit,Indian Ocean Territories,IOA,1,Christmas Island,CXR,0,Christmas Island,CXR,0,Christmas I.,Christmas Island,CXR,Christmas I.,,Chris. I.,CX,Territory of Christmas Island,,Auz.,,Christmas Island,,1,2,2,7,1448,21.72,0,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,CX,CXR,162,162,-99,-99,-99,CXR,IOA,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,12,16,9,-99,-99
0,Admin-0 map subunit,2,Indonesia,IDN,0,2,Sovereign country,Indonesia,IDN,0,Indonesia,IDN,0,Indonesia,IDN,0,Indonesia,Indonesia,IDN,Indonesia,,Indo.,INDO,Republic of Indonesia,,,,Indonesia,,6,6,6,11,240271522,914600,-99,2010,-99,4. Emerging region: MIKT,4. Lower middle income,-99,,ID,IDN,360,360,ID,IDN,-99,IDN,IDN,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,9,9,5,-99,1
3,Admin-0 map subunit,6,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,Andaman Islands,INA,0,Andaman Is.,Andaman Islands,INA,Andaman Is.,,And. Is.,AN,,,India,,Andaman Islands,,1,3,2,2,341949.6,966.836399,0,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Seven seas (open ocean),Asia,South-Eastern Asia,South Asia,11,15,8,-99,-99
3,Admin-0 map subunit,6,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,Nicobar Islands,INN,0,Nicobar Is.,Nicobar Islands,INN,Nicobar Is.,,Nic. Is.,NC,,,India,,Nicobar Islands,,1,3,2,2,37994.4,107.426267,0,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Seven seas (open ocean),Asia,South-Eastern Asia,South Asia,11,15,8,-99,-99
0,Admin-0 map subunit,3,Cambodia,KHM,0,2,Sovereign country,Cambodia,KHM,0,Cambodia,KHM,0,Cambodia,KHM,0,Cambodia,Cambodia,KHM,Cambodia,,Camb.,KH,Kingdom of Cambodia,,,,Cambodia,,6,3,6,5,14494293,27940,-99,2008,-99,7. Least developed region,5. Low income,-99,,KH,KHM,116,116,KH,KHM,-99,KHM,KHM,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,8,8,5,-99,1
0,Admin-0 map subunit,4,Laos,LAO,0,2,Sovereign country,Laos,LAO,0,Laos,LAO,0,Laos,LAO,0,Lao PDR,Lao PDR,LAO,Laos,,Laos,LA,Lao People's Democratic Republic,,,,Lao PDR,,1,1,1,9,6834942,13980,-99,2005,-99,7. Least developed region,4. Lower middle income,-99,,LA,LAO,418,418,LA,LAO,-99,LAO,LAO,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,7,7,4,-99,1
0,Admin-0 map subunit,3,Myanmar,MMR,0,2,Sovereign country,Myanmar,MMR,0,Myanmar,MMR,0,Myanmar,MMR,0,Myanmar,Myanmar,MMR,Myanmar,,Myan.,MM,Republic of the Union of Myanmar,,,,Myanmar,,2,2,5,13,48137741,55130,-99,1983,-99,7. Least developed region,5. Low income,-99,,MM,MMR,104,104,MM,MMR,-99,MMR,MMR,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,7,7,5,-99,1
0,Admin-0 map subunit,3,Malaysia,MYS,0,2,Sovereign country,Malaysia,MYS,0,Malaysia,MYS,0,Malaysia,MYS,0,Malaysia,Malaysia,MYS,Malaysia,,Malay.,MY,Malaysia,,,,Malaysia,,2,4,3,6,25715819,384300,-99,2010,-99,6. Developing region,3. Upper middle income,-99,,MY,MYS,458,458,MY,MYS,-99,MYS,MYS,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,8,8,6,-99,1
